@W: FA406 |Environment variable QUARTUS_ROOTDIR not set. Cannot determine PAR version.
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[26]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[25]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[24]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[23]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[22]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[21]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[20]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[19]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[18]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[17]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[16]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[15]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[14]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[13]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[12]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[11]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[10]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[9]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[8]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[7]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[6]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[5]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[4]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[3]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[2]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[1]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[0]
@W: MT420 |Found inferred clock edgedetect|clock with period 36.76ns. Please declare a user-defined clock on port clock.
